probe,gene
478_at,ATP1A3
479_at,ATP12A
480_at,ATP1A4
481_at,ATP1B1
482_at,ATP1B2
483_at,ATP1B3
486_at,FXYD2
487_at,ATP2A1
488_at,ATP2A2
489_at,ATP2A3
490_at,ATP2B1
491_at,ATP2B2
492_at,ATP2B3
493_at,ATP2B4
495_at,ATP4A
496_at,ATP4B
498_at,ATP5F1A
501_at,ALDH7A1
506_at,ATP5F1B
509_at,ATP5F1C
513_at,ATP5F1D
514_at,ATP5F1E
515_at,ATP5PB
516_at,ATP5MC1
517_at,ATP5MC2
518_at,ATP5MC3
521_at,ATP5ME
522_at,ATP5PF
523_at,ATP6V1A
525_at,ATP6V1B1
526_at,ATP6V1B2
527_at,ATP6V0C
528_at,ATP6V1C1
529_at,ATP6V1E1
533_at,ATP6V0B
534_at,ATP6V1G2
535_at,ATP6V0A1
537_at,ATP6AP1
538_at,ATP7A
539_at,ATP5PO
540_at,ATP7B
545_at,ATR
546_at,ATRX
547_at,KIF1A
549_at,AUH
550_at,AUP1
551_at,AVP
552_at,AVPR1A
553_at,AVPR1B
554_at,AVPR2
558_at,AXL
563_at,AZGP1
566_at,AZU1
567_at,B2M
570_at,BAAT
571_at,BACH1
572_at,BAD
573_at,BAG1
575_at,ADGRB1
576_at,ADGRB2
577_at,ADGRB3
578_at,BAK1
579_at,NKX3-2
580_at,BARD1
581_at,BAX
582_at,BBS1
583_at,BBS2
585_at,BBS4
586_at,BCAT1
587_at,BCAT2
590_at,BCHE
593_at,BCKDHA
594_at,BCKDHB
595_at,CCND1
596_at,BCL2
597_at,BCL2A1
598_at,BCL2L1
599_at,BCL2L2
602_at,BCL3
604_at,BCL6
605_at,BCL7A
607_at,BCL9
608_at,TNFRSF17
610_at,HCN2
611_at,OPN1SW
613_at,BCR
617_at,BCS1L
622_at,BDH1
623_at,BDKRB1
624_at,BDKRB2
627_at,BDNF
629_at,CFB
631_at,BFSP1
632_at,BGLAP
633_at,BGN
634_at,CEACAM1
635_at,BHMT
636_at,BICD1
637_at,BID
638_at,BIK
639_at,PRDM1
640_at,BLK
641_at,BLM
642_at,BLMH
643_at,CXCR5
644_at,BLVRA
645_at,BLVRB
646_at,BNC1
648_at,BMI1
649_at,BMP1
650_at,BMP2
651_at,BMP3
652_at,BMP4
653_at,BMP5
654_at,BMP6
655_at,BMP7
656_at,BMP8B
657_at,BMPR1A
658_at,BMPR1B
659_at,BMPR2
660_at,BMX
661_at,POLR3D
662_at,BNIP1
663_at,BNIP2
664_at,BNIP3
665_at,BNIP3L
666_at,BOK
667_at,DST
668_at,FOXL2
669_at,BPGM
670_at,BPHL
671_at,BPI
672_at,BRCA1
673_at,BRAF
675_at,BRCA2
676_at,BRDT
677_at,ZFP36L1
678_at,ZFP36L2
680_at,BRS3
682_at,BSG
683_at,BST1
684_at,BST2
685_at,BTC
686_at,BTD
687_at,KLF9
688_at,KLF5
689_at,BTF3
690_at,BTF3P11
694_at,BTG1
695_at,BTK
696_at,BTN1A1
699_at,BUB1
701_at,BUB1B
705_at,BYSL
706_at,TSPO
708_at,C1QBP
710_at,SERPING1
711_at,ERC2-IT1
712_at,C1QA
713_at,C1QB
714_at,C1QC
715_at,C1R
716_at,C1S
717_at,C2
718_at,C3
719_at,C3AR1
721_at,C4B
722_at,C4BPA
725_at,C4BPB
726_at,CAPN5
727_at,C5
728_at,C5AR1
729_at,C6
730_at,C7
731_at,C8A
732_at,C8B
733_at,C8G
734_at,OSGIN2
735_at,C9
738_at,VPS51
740_at,MRPL49
741_at,ZNHIT2
744_at,MPPED2
745_at,MYRF
746_at,TMEM258
747_at,DAGLA
750_at,GAS8-AS1
752_at,FMNL1
753_at,LDLRAD4
754_at,PTTG1IP
755_at,CFAP410
757_at,TMEM50B
758_at,MPPED1
759_at,CA1
760_at,CA2
761_at,CA3
762_at,CA4
763_at,CA5A
765_at,CA6
766_at,CA7
767_at,CA8
768_at,CA9
770_at,CA11
771_at,CA12
773_at,CACNA1A
774_at,CACNA1B
775_at,CACNA1C
776_at,CACNA1D
777_at,CACNA1E
778_at,CACNA1F
779_at,CACNA1S
780_at,DDR1
781_at,CACNA2D1
782_at,CACNB1
783_at,CACNB2
784_at,CACNB3
785_at,CACNB4
786_at,CACNG1
788_at,SLC25A20
790_at,CAD
793_at,CALB1
794_at,CALB2
795_at,S100G
796_at,CALCA
797_at,CALCB
799_at,CALCR
800_at,CALD1
801_at,CALM1
805_at,CALM2
808_at,CALM3
810_at,CALML3
811_at,CALR
813_at,CALU
814_at,CAMK4
815_at,CAMK2A
816_at,CAMK2B
817_at,CAMK2D
818_at,CAMK2G
819_at,CAMLG
820_at,CAMP
821_at,CANX
822_at,CAPG
823_at,CAPN1
824_at,CAPN2
825_at,CAPN3
826_at,CAPNS1
827_at,CAPN6
828_at,CAPS
829_at,CAPZA1
830_at,CAPZA2
831_at,CAST
832_at,CAPZB
833_at,CARS
834_at,CASP1
835_at,CASP2
836_at,CASP3
837_at,CASP4
838_at,CASP5
839_at,CASP6
840_at,CASP7
841_at,CASP8
842_at,CASP9
843_at,CASP10
844_at,CASQ1
845_at,CASQ2
846_at,CASR
847_at,CAT
857_at,CAV1
858_at,CAV2
859_at,CAV3
860_at,RUNX2
861_at,RUNX1
862_at,RUNX1T1
863_at,CBFA2T3
864_at,RUNX3
865_at,CBFB
866_at,SERPINA6
867_at,CBL
868_at,CBLB
869_at,CBLN1
871_at,SERPINH1
873_at,CBR1
874_at,CBR3
875_at,CBS
881_at,CCIN
883_at,KYAT1
885_at,CCK
886_at,CCKAR
887_at,CCKBR
889_at,KRIT1
890_at,CCNA2
891_at,CCNB1
892_at,CCNC
894_at,CCND2
896_at,CCND3
898_at,CCNE1
899_at,CCNF
900_at,CCNG1
901_at,CCNG2
902_at,CCNH
904_at,CCNT1
905_at,CCNT2
908_at,CCT6A
909_at,CD1A
910_at,CD1B
911_at,CD1C
912_at,CD1D
913_at,CD1E
914_at,CD2
915_at,CD3D
916_at,CD3E
917_at,CD3G
919_at,CD247
920_at,CD4
921_at,CD5
922_at,CD5L
923_at,CD6
924_at,CD7
925_at,CD8A
926_at,CD8B
928_at,CD9
929_at,CD14
930_at,CD19
931_at,MS4A1
932_at,MS4A3
933_at,CD22
939_at,CD27
940_at,CD28
941_at,CD80
942_at,CD86
943_at,TNFRSF8
944_at,TNFSF8
945_at,CD33
946_at,SIGLEC6
947_at,CD34
948_at,CD36
949_at,SCARB1
950_at,SCARB2
951_at,CD37
952_at,CD38
953_at,ENTPD1
954_at,ENTPD2
955_at,ENTPD6
956_at,ENTPD3
957_at,ENTPD5
958_at,CD40
959_at,CD40LG
960_at,CD44
961_at,CD47
962_at,CD48
963_at,CD53
965_at,CD58
966_at,CD59
967_at,CD63
968_at,CD68
969_at,CD69
970_at,CD70
971_at,CD72
972_at,CD74
973_at,CD79A
974_at,CD79B
975_at,CD81
976_at,ADGRE5
977_at,CD151
978_at,CDA
983_at,CDK1
984_at,CDK11B
987_at,LRBA
988_at,CDC5L
989_at,42254
990_at,CDC6
991_at,CDC20
993_at,CDC25A
994_at,CDC25B
995_at,CDC25C
996_at,CDC27
997_at,CDC34
998_at,CDC42
999_at,CDH1
1000_at,CDH2
1001_at,CDH3
1002_at,CDH4
1003_at,CDH5
1004_at,CDH6
1005_at,CDH7
1006_at,CDH8
1007_at,CDH9
1008_at,CDH10
1009_at,CDH11
1010_at,CDH12
1012_at,CDH13
1013_at,CDH15
1014_at,CDH16
1015_at,CDH17
1016_at,CDH18
1017_at,CDK2
1019_at,CDK4
1020_at,CDK5
1021_at,CDK6
1022_at,CDK7
1024_at,CDK8
1025_at,CDK9
1026_at,CDKN1A
1027_at,CDKN1B
1028_at,CDKN1C
1029_at,CDKN2A
1030_at,CDKN2B
1031_at,CDKN2C
1032_at,CDKN2D
1033_at,CDKN3
1036_at,CDO1
1038_at,CDR1
1039_at,CDR2
1040_at,CDS1
1041_at,CDSN
1043_at,CD52
1044_at,CDX1
1045_at,CDX2
1046_at,CDX4
1047_at,CLGN
1048_at,CEACAM5
1050_at,CEBPA
1051_at,CEBPB
1052_at,CEBPD
1053_at,CEBPE
1054_at,CEBPG
1056_at,CEL
1057_at,CELP
1058_at,CENPA
1059_at,CENPB
1060_at,CENPC
1062_at,CENPE
1063_at,CENPF
1066_at,CES1
1068_at,CETN1
1069_at,CETN2
1070_at,CETN3
1071_at,CETP
1072_at,CFL1
1073_at,CFL2
1075_at,CTSC
1080_at,CFTR
1081_at,CGA
1084_at,CEACAM3
1087_at,CEACAM7
1088_at,CEACAM8
1089_at,CEACAM4
1101_at,CHAD
1102_at,RCBTB2
1103_at,CHAT
1104_at,RCC1
1105_at,CHD1
1106_at,CHD2
1107_at,CHD3
1108_at,CHD4
1109_at,AKR1C4
1111_at,CHEK1
1112_at,FOXN3
1113_at,CHGA
1114_at,CHGB
1116_at,CHI3L1
1117_at,CHI3L2
1118_at,CHIT1
1119_at,CHKA
1120_at,CHKB
1121_at,CHM
1122_at,CHML
1123_at,CHN1
1124_at,CHN2
1128_at,CHRM1
1129_at,CHRM2
1130_at,LYST
1131_at,CHRM3
1132_at,CHRM4
1133_at,CHRM5
1134_at,CHRNA1
1135_at,CHRNA2
1136_at,CHRNA3
1137_at,CHRNA4
1138_at,CHRNA5
1139_at,CHRNA7
1140_at,CHRNB1
1141_at,CHRNB2
1142_at,CHRNB3
1143_at,CHRNB4
1144_at,CHRND
1145_at,CHRNE
1146_at,CHRNG
1147_at,CHUK
1149_at,CIDEA
1152_at,CKB
1153_at,CIRBP
1154_at,CISH
1155_at,TBCB
1158_at,CKM
1160_at,CKMT2
1161_at,ERCC8
1163_at,CKS1B
1164_at,CKS2
1173_at,AP2M1
1174_at,AP1S1
1175_at,AP2S1
1176_at,AP3S1
1178_at,CLC
1179_at,CLCA1
1180_at,CLCN1
1181_at,CLCN2
1182_at,CLCN3
1183_at,CLCN4
1184_at,CLCN5
1185_at,CLCN6
1186_at,CLCN7
1187_at,CLCNKA
1188_at,CLCNKB
1191_at,CLU
1192_at,CLIC1
1193_at,CLIC2
1195_at,CLK1
1196_at,CLK2
1197_at,CLK2P1
1198_at,CLK3
1200_at,TPP1
1201_at,CLN3
1203_at,CLN5
1207_at,CLNS1A
1208_at,CLPS
1209_at,CLPTM1
1211_at,CLTA
1212_at,CLTB
1213_at,CLTC
1215_at,CMA1
1230_at,CCR1
1232_at,CCR3
1233_at,CCR4
1234_at,CCR5
1235_at,CCR6
1236_at,CCR7
1237_at,CCR8
1238_at,ACKR2
1240_at,CMKLR1
1241_at,LTB4R
1244_at,ABCC2
1258_at,CNGB1
1259_at,CNGA1
1260_at,CNGA2
1261_at,CNGA3
1262_at,CNGA4
1263_at,PLK3
1264_at,CNN1
1265_at,CNN2
1266_at,CNN3
1267_at,CNP
1268_at,CNR1
1269_at,CNR2
1271_at,CNTFR
1272_at,CNTN1
1277_at,COL1A1
1278_at,COL1A2
1280_at,COL2A1
1281_at,COL3A1
1282_at,COL4A1
1284_at,COL4A2
1285_at,COL4A3
1286_at,COL4A4
1287_at,COL4A5
1288_at,COL4A6
1289_at,COL5A1
1290_at,COL5A2
1291_at,COL6A1
1292_at,COL6A2
1293_at,COL6A3
1294_at,COL7A1
1295_at,COL8A1
1296_at,COL8A2
1297_at,COL9A1
1298_at,COL9A2
1299_at,COL9A3
1300_at,COL10A1
1301_at,COL11A1
1302_at,COL11A2
1303_at,COL12A1
1305_at,COL13A1
1306_at,COL15A1
1307_at,COL16A1
1308_at,COL17A1
1310_at,COL19A1
1311_at,COMP
1312_at,COMT
1314_at,COPA
1315_at,COPB1
1316_at,KLF6
1317_at,SLC31A1
1318_at,SLC31A2
1325_at,CORT
1326_at,MAP3K8
1327_at,COX4I1
1329_at,COX5B
1339_at,COX6A2
1340_at,COX6B1
1345_at,COX6C
1346_at,COX7A1
1347_at,COX7A2
1349_at,COX7B
1350_at,COX7C
1351_at,COX8A
1352_at,COX10
1353_at,COX11
1355_at,COX15
1356_at,CP
1357_at,CPA1
1358_at,CPA2
1359_at,CPA3
1360_at,CPB1
1361_at,CPB2
1362_at,CPD
1363_at,CPE
1364_at,CLDN4
1365_at,CLDN3
1366_at,CLDN7
1368_at,CPM
1369_at,CPN1
1370_at,CPN2
1371_at,CPOX
1373_at,CPS1
1374_at,CPT1A
1375_at,CPT1B
1376_at,CPT2
1378_at,CR1
1379_at,CR1L
1380_at,CR2
1381_at,CRABP1
1382_at,CRABP2
1384_at,CRAT
1385_at,CREB1
1386_at,ATF2
1387_at,CREBBP
1388_at,ATF6B
1389_at,CREBL2
1390_at,CREM
1392_at,CRH
1393_at,CRHBP
1394_at,CRHR1
1395_at,CRHR2
1396_at,CRIP1
1397_at,CRIP2
1398_at,CRK
1399_at,CRKL
1400_at,CRMP1
1401_at,CRP
1404_at,HAPLN1
1406_at,CRX
1407_at,CRY1
1408_at,CRY2
1409_at,CRYAA
1410_at,CRYAB
