probe,gene
ENSG00000000003_at,TSPAN6
ENSG00000000005_at,TNMD
ENSG00000000419_at,DPM1
ENSG00000000457_at,SCYL3
ENSG00000000460_at,C1orf112
ENSG00000000938_at,FGR
ENSG00000000971_at,CFH
ENSG00000001036_at,FUCA2
ENSG00000001084_at,GCLC
ENSG00000001167_at,NFYA
ENSG00000001460_at,STPG1
ENSG00000001461_at,NIPAL3
ENSG00000001497_at,LAS1L
ENSG00000001561_at,ENPP4
ENSG00000001617_at,SEMA3F
ENSG00000001626_at,CFTR
ENSG00000001629_at,ANKIB1
ENSG00000001631_at,KRIT1
ENSG00000002016_at,RAD52
ENSG00000002079_at,MYH16
ENSG00000002330_at,BAD
ENSG00000002549_at,LAP3
ENSG00000002586_at,CD99
ENSG00000002587_at,HS3ST1
ENSG00000002726_at,AOC1
ENSG00000002745_at,WNT16
ENSG00000002746_at,HECW1
ENSG00000002822_at,MAD1L1
ENSG00000002834_at,LASP1
ENSG00000002919_at,SNX11
ENSG00000002933_at,TMEM176A
ENSG00000003056_at,M6PR
ENSG00000003096_at,KLHL13
ENSG00000003137_at,CYP26B1
ENSG00000003147_at,ICA1
ENSG00000003249_at,DBNDD1
ENSG00000003393_at,ALS2
ENSG00000003400_at,CASP10
ENSG00000003402_at,CFLAR
ENSG00000003436_at,TFPI
ENSG00000003509_at,NDUFAF7
ENSG00000003756_at,RBM5
ENSG00000003987_at,MTMR7
ENSG00000003989_at,SLC7A2
ENSG00000004059_at,ARF5
ENSG00000004139_at,SARM1
ENSG00000004142_at,POLDIP2
ENSG00000004399_at,PLXND1
ENSG00000004455_at,AK2
ENSG00000004468_at,CD38
ENSG00000004478_at,FKBP4
ENSG00000004487_at,KDM1A
ENSG00000004534_at,RBM6
ENSG00000004660_at,CAMKK1
ENSG00000004700_at,RECQL
ENSG00000004766_at,VPS50
ENSG00000004776_at,HSPB6
ENSG00000004777_at,ARHGAP33
ENSG00000004779_at,NDUFAB1
ENSG00000004799_at,PDK4
ENSG00000004809_at,SLC22A16
ENSG00000004838_at,ZMYND10
ENSG00000004846_at,ABCB5
ENSG00000004848_at,ARX
ENSG00000004864_at,SLC25A13
ENSG00000004866_at,ST7
ENSG00000004897_at,CDC27
ENSG00000004939_at,SLC4A1
ENSG00000004948_at,CALCR
ENSG00000004961_at,HCCS
ENSG00000004975_at,DVL2
ENSG00000005001_at,PRSS22
ENSG00000005007_at,UPF1
ENSG00000005020_at,SKAP2
ENSG00000005022_at,SLC25A5
ENSG00000005059_at,MCUB
ENSG00000005073_at,HOXA11
ENSG00000005075_at,POLR2J
