probe,gene
1_at,A1BG
10_at,NAT2
100_at,ADA
1000_at,CDH2
10000_at,AKT3
10001_at,MED6
10002_at,NR2E3
10003_at,NAALAD2
100037417_at,DDT
100037417_at,DDTL
10004_at,NAALADL1
100049587_at,SIGLEC14
10005_at,ACOT8
10006_at,ABI1
10007_at,GNPDA1
10008_at,KCNE3
10009_at,ZBTB33
1001_at,CDH3
10010_at,TANK
100101467_at,ZSCAN30
10011_at,SRA1
100113407_at,TMEM170B
100125288_at,ZGLP1
100127206_at,MINAR2
100127983_at,C8orf88
100128071_at,FAM229A
100128242_at,GRAMD1B
100128327_at,TRAPPC3L
100128496_at,C20orf78
100128569_at,C19orf71
100128731_at,OST4
100128908_at,LMLN2
100128927_at,ZBTB42
100129094_at,BTNL10
100129128_at,KHDC1L
100129250_at,SMIM27
100129271_at,C1orf68
100129480_at,MKRN2OS
100129520_at,TEX13C
100129543_at,ZNF730
100129583_at,FAM47E
100129654_at,TCF24
100129669_at,IZUMO3
100129792_at,CCDC152
100129836_at,COL4A2-AS2
100129842_at,ZNF737
100129924_at,TMEM269
10013_at,HDAC6
100130274_at,CCDC166
100130301_at,C8orf89
100130302_at,SUPT20HL1
100130311_at,C17orf107
100130348_at,TMEM262
100130519_at,TMEM221
100130539_at,C10orf142
100130613_at,PRR32
100130705_at,ATP6V1FNB
100130733_at,LRRC70
100130742_at,LRRC69
100130771_at,EFCAB10
100130827_at,SBK3
100130890_at,TSTD3
100130933_at,SMIM6
100130958_at,SYCE1L
100130967_at,C6orf99
100130988_at,SPATA48
100131017_at,ZNF316
100131094_at,DPP9-AS1
100131137_at,BSPH1
100131187_at,TSTD1
100131211_at,NEMP2
100131244_at,ANKRD63
100131378_at,C11orf91
100131390_at,SP9
100131439_at,CD300LD
100131539_at,ZNF705E
100131755_at,ARMCX4
100131801_at,PET100
100131827_at,ZNF717
100131897_at,INSYN2B
100131902_at,KRTAP25-1
100131980_at,ZNF705G
100132074_at,FOXO6
100132146_at,FAM240A
100132386_at,KRTAP4-9
100132396_at,ZNF705B
100132406_at,NBPF10
100132463_at,CLDN24
100132476_at,KRTAP4-7
100132916_at,SHISAL2B
100132963_at,SMIM9
10014_at,HDAC5
100141515_at,C17orf99
100144748_at,KLLN
10015_at,PDCD6IP
100151643_at,KRTAP20-4
10016_at,PDCD6
100169851_at,PATE3
10017_at,BCL2L10
100170229_at,SRRM5
100170765_at,ERICH4
100170841_at,EPOP
10018_at,BCL2L11
100188893_at,TOMM6
10019_at,SH2B3
100190949_at,C5orf52
100191040_at,C2CD4D
1002_at,CDH4
10020_at,GNE
10021_at,HCN4
10022_at,INSL5
10023_at,FRAT1
10024_at,TROAP
10025_at,MED16
10026_at,PIGK
100271715_at,ARHGEF33
100271846_at,ERVV-2
100271927_at,RASA4B
100272147_at,CMC4
100287144_at,USP17L10
100287171_at,WASHC1
100287226_at,ZNF729
100287284_at,MANSC4
100287482_at,SMKR1
