probe,gene
ACTB,ACTB
ILMN_10000,THBS3
ILMN_10001,SLC38A2
ILMN_10002,XG
ILMN_10003,GMPR2
ILMN_10004,DDR1
ILMN_10005,CCNB1
ILMN_10006,ZNF496
ILMN_10009,CRYM
ILMN_1001,SCIN
ILMN_10010,APOH
ILMN_10011,SMAD7
ILMN_10012,SLC7A2
ILMN_10013,LALBA
ILMN_10014,KIR2DL5A
ILMN_10016,DIO3
ILMN_10019,BCL7A
ILMN_1002,KRT74
ILMN_10020,TRPC1
ILMN_10021,LIG3
ILMN_10022,GHSR
ILMN_10023,HSD11B1
ILMN_10025,RNASE2
ILMN_10026,MTHFD1
ILMN_10029,NLRP7
ILMN_1003,LPAR6
ILMN_10031,GUCY2F
ILMN_10032,PNLIPRP1
ILMN_10033,COMMD9
ILMN_10035,DDX43
ILMN_10036,PCBP4
ILMN_10038,NETO1
ILMN_10039,CCDC51
ILMN_1004,ARAP2
ILMN_10040,ITSN1
ILMN_10044,LXN
ILMN_10045,DTX3
ILMN_10046,ANKEF1
ILMN_1005,SELENOM
ILMN_10054,INTS3
ILMN_10057,TGOLN2
ILMN_10059,ALG14
ILMN_1006,SEZ6L2
ILMN_10062,PRCC
ILMN_10066,PHLPP2
ILMN_1007,PPP2R2B
ILMN_10070,ZSCAN2
ILMN_10072,PXDNL
ILMN_10073,FBXW11
ILMN_10074,LOC202459
ILMN_10075,PAGE2
ILMN_10076,SLC22A17
ILMN_10077,EIF2AK4
ILMN_10078,RP11-529I10.4
ILMN_1008,PIDD1
ILMN_10080,LOC90925
ILMN_10081,OR2AE1
ILMN_10082,DDX4
ILMN_10083,DLEU2L
ILMN_10084,OR51I1
ILMN_10085,DDX59
ILMN_10087,CYCS
ILMN_10088,OFD1
ILMN_1009,DDX42
ILMN_10090,UBXN11
ILMN_10091,PSME3
ILMN_10092,UHMK1
ILMN_10093,KRTAP15-1
ILMN_10094,JTB
ILMN_10095,LYN
ILMN_10099,HNF1B
ILMN_10101,SSTR5
ILMN_10102,SLC27A6
ILMN_10103,CASR
ILMN_10104,STK24
ILMN_10105,ENOX2
ILMN_10106,GALNT8
ILMN_10107,SPTLC1
ILMN_10108,MR1
ILMN_10112,MAP2K3
ILMN_10115,INTS9
ILMN_10116,SERINC3
ILMN_10118,TBL1XR1
ILMN_10119,GAB2
ILMN_1012,CASD1
ILMN_10120,CCDC85B
ILMN_10121,FBXW12
ILMN_10123,IPO13
ILMN_10125,BBS5
ILMN_10126,LDLR
ILMN_10129,SLC11A2
ILMN_1013,RASSF4
ILMN_10130,SLC22A12
ILMN_10131,EMC6
ILMN_10132,RAD52
ILMN_10133,ANKRD2
ILMN_10134,SLC11A1
ILMN_10135,LOC284739
ILMN_10136,KRTCAP3
ILMN_10137,IL18R1
ILMN_10138,TPH2
ILMN_10139,CUTA
ILMN_1014,MTHFS
ILMN_10140,IFNB1
ILMN_10142,IKBIP
ILMN_10143,NPIPA1
ILMN_10144,DPP8
ILMN_10145,SLC35A3
ILMN_10146,DDX24
ILMN_10147,KLC2
ILMN_10148,FBXO22
ILMN_1015,COL4A2
ILMN_10150,RPL21
ILMN_10151,ZSCAN9
ILMN_10152,DHRS4
ILMN_10153,ZNF480
ILMN_10155,SERPINB11
ILMN_10156,ZNF554
ILMN_10157,ZNF101
ILMN_10158,HIST2H2AB
ILMN_10159,FOXN2
ILMN_1016,C8G
ILMN_10160,THNSL1
ILMN_10164,BRD8
ILMN_10168,CNNM2
ILMN_1017,LOC134997
ILMN_10173,TMEM17
ILMN_10174,CTSA
ILMN_10177,NTRK2
ILMN_10179,IL17B
ILMN_10180,EPHX4
ILMN_10181,INHA
ILMN_10184,MARVELD3
ILMN_10186,LOC115098
ILMN_10187,FLJ42957
ILMN_1019,ASF1A
ILMN_10192,ZSCAN2
ILMN_10194,OR8D2
ILMN_10196,ZDHHC24
ILMN_10198,FLJ30046
ILMN_10199,IBA57
ILMN_1020,KIAA1026
ILMN_10200,HERC2
ILMN_10201,CCNG2
ILMN_10202,SZT2
ILMN_10203,FLJ35119
ILMN_10204,SCNM1
ILMN_10205,ATP5PO
ILMN_10207,H3F3A
ILMN_1021,SHANK2
ILMN_10210,SERPINB1
ILMN_10211,C19orf12
ILMN_10212,ABCG4
ILMN_10213,TRIP4
ILMN_10214,WFDC12
ILMN_10217,CDK5RAP3
ILMN_10218,FOXM1
ILMN_10219,TMEM184B
ILMN_1022,EYA2
ILMN_10220,BATF2
ILMN_10221,FLJ90709
ILMN_10223,FER1L4
ILMN_10224,AQP2
ILMN_10227,UEVLD
ILMN_10228,IDI2
ILMN_10229,STEAP1
ILMN_1023,LRRC8C
ILMN_10230,DLC1
ILMN_10231,AIM2
ILMN_10232,FCHSD2
ILMN_10233,APBA1
ILMN_10237,BCL11B
ILMN_10239,GZMH
ILMN_1024,PPP1R15A
ILMN_10240,ZNF175
ILMN_10243,MLX
ILMN_10245,CENPS
ILMN_10246,MAP4K5
ILMN_10247,LAT
ILMN_10248,TCEA2
ILMN_10249,UGT1A6
ILMN_1025,ALDH5A1
ILMN_10251,AHSP
ILMN_10252,ABCB9
ILMN_10253,KIF21B
ILMN_10254,RELA
ILMN_10255,FOXP4
ILMN_10256,GPS2
ILMN_10257,OCRL
ILMN_10258,STARD3
ILMN_1026,SP110
ILMN_10260,BIRC8
ILMN_10261,DDAH1
ILMN_10263,TIAM2
ILMN_10264,FLJ43806
ILMN_10265,RAB27A
ILMN_10266,STXBP1
ILMN_10267,JOSD2
ILMN_10268,HBA2
ILMN_10269,IL17A
ILMN_1027,DIAPH1
ILMN_10270,KLK10
ILMN_10271,AKAP8
ILMN_10272,USH2A
ILMN_10273,CDKL5
ILMN_10274,OR1J2
ILMN_10275,RPS7
ILMN_10278,IKBIP
ILMN_10279,OR5F1
ILMN_10280,OXA1L
ILMN_10281,MGC15875
ILMN_10282,NPM3
ILMN_10283,CDR2
ILMN_10285,ZNF221
ILMN_10286,SLC17A6
ILMN_10287,ADTRP
ILMN_10291,GPR173
ILMN_10292,TBC1D7
ILMN_10294,TMC4
ILMN_10296,FA2H
ILMN_10297,ZNF20
ILMN_10298,TVP23C
ILMN_10299,CIP2A
ILMN_1030,ARHGAP32
ILMN_10300,LUC7L3
ILMN_10306,DPAGT1
ILMN_1031,EAPP
ILMN_10315,PTGER3
ILMN_1032,COL6A3
ILMN_10321,TNFSF11
ILMN_10323,RSBN1L
ILMN_10325,POLR3H
ILMN_10329,FLJ26443
ILMN_1033,CCNT1
ILMN_10332,OR2T8
ILMN_10334,CLDN18
ILMN_10338,SZT2
ILMN_10339,BEX5
ILMN_1034,SERPINA1
ILMN_10341,LRRC52
ILMN_10342,DAND5
ILMN_10343,CCRL2
ILMN_10344,POU2F2
ILMN_10345,CTNNBL1
ILMN_10346,ABCA1
ILMN_10347,PPIL4
ILMN_10348,KIRREL2
ILMN_10349,NEK11
ILMN_1035,MAPRE3
ILMN_10350,UBE3B
ILMN_10351,TGM3
ILMN_10353,MGC70863
ILMN_10355,DCUN1D2
ILMN_10356,CHRNA2
ILMN_10357,NOC2L
ILMN_10359,SPAG5
ILMN_1036,CHI3L2
ILMN_10360,PRSS16
ILMN_10361,C1orf189
ILMN_10363,TAS2R50
ILMN_10364,ZNF41
ILMN_10365,BAGE
ILMN_10366,CDH8
ILMN_10367,FAF1
ILMN_10369,ARL6
ILMN_1037,UNC13B
ILMN_10370,MBP
ILMN_10371,NSD2
ILMN_10372,CCL19
ILMN_10373,MBNL1
ILMN_10374,COG5
ILMN_10375,EPHA3
ILMN_10376,GPX1
ILMN_10377,CYCSP55
ILMN_10378,PPP2R3A
ILMN_1038,LMX1A
ILMN_10380,SLC4A1
ILMN_10381,LAT
ILMN_10382,TCEA2
ILMN_10384,TREX2
ILMN_10385,ERAP1
ILMN_10386,ABCE1
ILMN_10387,SYN3
ILMN_10388,C4A
ILMN_10389,POLQ
