probe,gene
ILMN_10390,NFYA
ILMN_10392,UQCR11
ILMN_10394,SH3GLB1
ILMN_10395,VARS
ILMN_10396,TTC33
ILMN_10397,RASGRP2
ILMN_10399,NIPSNAP2
ILMN_1040,LOC124842
ILMN_10401,OR2D2
ILMN_10402,RFXANK
ILMN_10403,DKFZP686A10121
ILMN_10404,PTPN21
ILMN_10406,ZNF222
ILMN_10407,SUGP2
ILMN_10408,COL8A1
ILMN_10409,ATP5MD
ILMN_1041,FAM83B
ILMN_10410,ZNF579
ILMN_10411,RPL24
ILMN_10412,ATP13A4
ILMN_10413,SPATA22
ILMN_10414,ARHGAP21
ILMN_10415,DDX19A
ILMN_10416,DMRTA1
ILMN_10418,C20orf144
ILMN_10419,HIST1H2AJ
ILMN_1042,MXI1
ILMN_10420,C7orf33
ILMN_10421,CEBPZ
ILMN_10422,PIGO
ILMN_10423,BLOC1S4
ILMN_10424,SYVN1
ILMN_10425,TCERG1L
ILMN_10426,STBD1
ILMN_10430,LENG9
ILMN_10431,BRD8
ILMN_10434,FLJ20625
ILMN_10437,CEP97
ILMN_10438,VAMP1
ILMN_1044,CLK3
ILMN_10445,PPRC1
ILMN_10449,CXXC5
ILMN_1045,MITF
ILMN_10450,MMS22L
ILMN_10451,POLR3H
ILMN_10453,MGC34821
ILMN_10455,MGC48628
ILMN_10457,OR2G6
ILMN_10458,CLCF1
ILMN_10459,HERPUD2
ILMN_1046,TIMP2
ILMN_10460,TCEAL5
ILMN_10461,TTC8
ILMN_10462,CISH
ILMN_10463,HSPA12B
ILMN_10464,THEG
ILMN_10465,KIRREL2
ILMN_10466,FLJ13149
ILMN_10468,AQP7
ILMN_10469,PCP4
ILMN_1047,DTNBP1
ILMN_10471,MGC70863
ILMN_10472,E2F1
ILMN_10474,TSPAN3
ILMN_10475,GSTP1
ILMN_10476,MMP25
ILMN_10477,CAPN1
ILMN_10478,SPRR3
ILMN_10479,DEFA6
ILMN_10480,UPK1A
ILMN_10481,OTUD6A
ILMN_10482,MFHAS1
ILMN_10483,SGK3
ILMN_10484,TAB2
ILMN_10486,LOC352909
ILMN_10487,MATK
ILMN_10488,RAET1E
ILMN_10489,ARTN
ILMN_1049,MED8
ILMN_10490,SERINC3
ILMN_10491,GNL3
ILMN_10492,EPHA7
ILMN_10493,SMURF1
ILMN_10494,ANXA2P1
ILMN_10495,SNRPA
ILMN_10496,CELF1
ILMN_10498,NCDN
ILMN_10499,HEY2
ILMN_1050,OR1D4
ILMN_10500,HTR4
ILMN_10501,CSTA
ILMN_10502,SIAE
ILMN_10503,KIAA1446
ILMN_10504,HCLS1
ILMN_10507,ARHGAP8
ILMN_10508,NOSTRIN
ILMN_10509,MARCH8
ILMN_1051,NUP155
ILMN_10511,FN3K
ILMN_10512,EDA
ILMN_10513,IL7R
ILMN_10515,MARK4
ILMN_10516,TAS2R40
ILMN_10517,POF1B
ILMN_10518,P2RX2
ILMN_10519,NCOA3
ILMN_1052,TMOD1
ILMN_10520,STAT5A
ILMN_10521,HES1
ILMN_10522,H2AFY2
ILMN_10524,HOXC13
ILMN_10526,SCN8A
ILMN_10527,PDE1C
ILMN_10529,POLR2H
ILMN_1053,ADAT1
ILMN_10530,PWP1
ILMN_10531,DPP8
ILMN_10532,SLC27A5
ILMN_10534,ADARB2
ILMN_10535,PLSCR4
ILMN_10536,NBPF11
ILMN_10539,MARVELD2
ILMN_1054,REPIN1
ILMN_10540,ITSN1
ILMN_10543,PIEZO2
ILMN_10544,P2RX5
ILMN_10545,SCYL3
ILMN_10547,HEYL
ILMN_10548,ALG5
ILMN_1055,ZNF646
ILMN_10550,ASIC4
ILMN_10552,PPM1A
ILMN_10556,SLC16A10
ILMN_1056,TMEM39B
ILMN_10561,NACC2
ILMN_10564,PCIF1
ILMN_10565,FST
ILMN_10566,LOC493856
ILMN_10569,BAGE4
ILMN_1057,ACRV1
ILMN_10570,CASP14
ILMN_10571,MOB4
ILMN_10573,UTP14C
ILMN_10576,FLJ43752
ILMN_10577,DUPD1
ILMN_10578,SAMD13
ILMN_10580,OR8U8
ILMN_10581,OR7G3
ILMN_10582,PPP1R12B
ILMN_10583,SH2D1B
ILMN_10585,KRT2
ILMN_10586,ARHGEF39
ILMN_10587,WFDC8
ILMN_10588,CRIM1
ILMN_1059,MGC21644
ILMN_10590,BUB1
ILMN_10592,FUT3
ILMN_10593,SPHAR
ILMN_10594,RDH13
ILMN_10595,SLC27A6
ILMN_10596,ASPA
ILMN_10597,NPTXR
ILMN_10599,TCF7L2
ILMN_1060,PCDHA5
ILMN_10600,MGC10997
ILMN_10601,LOC63920
ILMN_10602,GPR15
ILMN_10603,ALDH4A1
ILMN_10605,TIGD7
ILMN_10606,CEMIP
ILMN_10608,BMP5
ILMN_1061,REEP4
ILMN_10610,PTPN13
ILMN_10611,PPT2
ILMN_10612,MGAT5B
ILMN_10614,WNT7A
ILMN_10615,XKR4
ILMN_10618,NOL3
ILMN_1062,KRTAP4-5
ILMN_10620,ACSM3
ILMN_10621,CASP1
ILMN_10622,PCBP2
ILMN_10623,PROP1
ILMN_10626,PRPF19
ILMN_10627,ATN1
ILMN_10629,ADRA1B
ILMN_1063,CIAO3
ILMN_10630,UCP3
ILMN_10632,TAS2R19
ILMN_10633,OR2B6
ILMN_10634,STAT6
ILMN_10635,COL4A3BP
ILMN_10636,CACNG5
ILMN_10637,HOXC9
ILMN_10640,LOC492311
ILMN_10641,SLC22A17
ILMN_10642,RPL28
ILMN_10643,NLRP11
ILMN_10644,SSUH2
ILMN_10645,SLAMF9
ILMN_10647,CERS2
ILMN_10648,LRRC45
ILMN_10651,MRPS21
ILMN_10656,SUPT3H
ILMN_10658,DSCR9
ILMN_1066,CDC42EP3
ILMN_10663,VAMP1
ILMN_10665,CENPN
ILMN_10667,MME
ILMN_10669,TLE1
ILMN_1067,CHKB
ILMN_10674,BAGE3
ILMN_10676,RAB5IF
ILMN_10677,HPN
ILMN_1068,ELP3
ILMN_10681,MGC34732
ILMN_10682,OR5J2
ILMN_10683,MGC4268
ILMN_10687,LOC399947
ILMN_10688,SLC6A16
ILMN_10689,KIAA2026
ILMN_1069,CYP2S1
ILMN_10690,OR4E2
ILMN_10692,PFKFB2
ILMN_10694,OR11L1
ILMN_10695,GPR89A
ILMN_10697,FRMD5
ILMN_10698,GALM
ILMN_10699,SNX22
ILMN_10700,PGM5
ILMN_10701,NUBP2
ILMN_10702,TTN
ILMN_10704,PCNX2
ILMN_10706,AKAP1
ILMN_10708,BPIFB6
ILMN_10709,MYO1C
ILMN_1071,LAGE3
ILMN_10710,MED29
ILMN_10711,GPR137B
ILMN_10712,ARF1
ILMN_10713,ADA2
ILMN_10714,KLHL3
ILMN_10715,TPSG1
ILMN_10716,USE1
ILMN_10717,POLG2
ILMN_10718,EIF4A1
ILMN_10719,GPA33
ILMN_10720,SLC14A1
ILMN_10721,EGR2
ILMN_10722,CDH16
ILMN_10723,GAS6
ILMN_10724,AHCY
ILMN_10725,EXTL3
ILMN_10726,MAGI3
ILMN_10728,MBD3L1
ILMN_10729,PLCD4
ILMN_10730,PDLIM2
ILMN_10733,MBNL1
ILMN_10735,TIE1
ILMN_10737,PRMT2
ILMN_10738,ACSM3
ILMN_10741,NOD1
ILMN_10742,SMPD1
ILMN_10744,TRAF6
ILMN_10745,CCR4
ILMN_10747,DNAJA3
ILMN_10748,NCOA1
ILMN_10750,PADI3
ILMN_10751,WDR45B
ILMN_10752,SCAMP3
ILMN_10753,ALG3
ILMN_10755,CKB
ILMN_10757,ATF4
ILMN_10759,ZNF763
ILMN_10760,LTA4H
ILMN_10761,POU3F3
ILMN_10762,HS2ST1
ILMN_10763,ZNF229
ILMN_10764,CEP162
ILMN_10766,GPR84
ILMN_10767,FAM120B
ILMN_10769,ZFP69B
ILMN_1077,DUS1L
ILMN_10770,AKAP4
ILMN_10771,UBXN6
ILMN_10772,RPL29
ILMN_10774,RASSF2
ILMN_10775,OTULINL
ILMN_10776,ZNF257
ILMN_10778,HELZ2
ILMN_10780,STK32A
ILMN_10783,ADCK2
ILMN_10794,KIAA0672
ILMN_10796,TREM1
ILMN_10798,LAS1L
ILMN_10801,BAGE2
ILMN_10802,FOXH1
ILMN_10806,OR6C6
ILMN_10810,SP5
ILMN_10811,TEX26
ILMN_10812,OR13J1
ILMN_10813,OR52N1
ILMN_10814,SLC30A8
ILMN_10815,SMG5
ILMN_10816,LINC01465
ILMN_10817,MED20
ILMN_10818,SLC49A3
ILMN_10819,CGNL1
ILMN_1082,ZNF677
ILMN_10820,TTN
ILMN_10822,FLJ10661
ILMN_10823,FSCN2
ILMN_10824,MGC45438
ILMN_10825,KRTAP20-1
ILMN_10826,PDYN
ILMN_10827,LEP
ILMN_10828,MGC70870
ILMN_10829,SIGLEC5
ILMN_10832,BAX
ILMN_10833,FLJ36070
ILMN_10834,RAB11FIP1
ILMN_10835,FXYD5
ILMN_10836,PROK1
ILMN_10837,MMP25
ILMN_10838,SIL1
ILMN_10839,MBTPS2
ILMN_10840,KIF4A
ILMN_10841,KCNJ3
ILMN_10842,TMIGD2
ILMN_10843,APCS
ILMN_10845,KCNA1
ILMN_10847,PDZRN4
ILMN_10848,IRF7
ILMN_10849,LIMK1
ILMN_10850,CREB3L4
ILMN_10851,SS18L1
ILMN_10853,ABHD5
ILMN_10855,ATP1B1
ILMN_10857,GCLC
ILMN_10858,PHOX2A
ILMN_10859,TBC1D4
ILMN_1086,TRAK1
ILMN_10860,RAPH1
ILMN_10861,FRMPD2
ILMN_10862,INPP5D
ILMN_10863,MSN
ILMN_10864,GABBR1
ILMN_10865,ESCO1
ILMN_10866,PHF6
ILMN_10868,GZMK
ILMN_10869,SLC46A2
ILMN_10870,ARHGAP31
ILMN_10871,SYCE1
ILMN_10872,BLM
ILMN_10873,GPR4
ILMN_10875,TMEM80
ILMN_10876,HOXC12
ILMN_10877,RPE
ILMN_10878,CEP250
ILMN_10879,MYBBP1A
ILMN_10881,JPH4
ILMN_10882,ATXN2L
ILMN_10884,RASSF2
ILMN_10886,TSNARE1
ILMN_1089,TUBA1A
ILMN_10890,PSME4
ILMN_10895,PTPDC1
ILMN_10897,FLJ20643
ILMN_10900,KRTAP10-8
ILMN_10901,VAMP1
ILMN_10903,ALLC
ILMN_1091,FAM184A
ILMN_10912,THBD
ILMN_10916,CLPTM1L
ILMN_10919,LCA5L
ILMN_1092,LAMB3
ILMN_10921,MGC39606
ILMN_10925,NOP14
ILMN_10926,OR2A25
ILMN_10927,CIZ1
ILMN_10928,OR2G3
ILMN_10929,UQCRC2
ILMN_10930,PNMA2
ILMN_10933,YIF1B
ILMN_10934,NEIL3
ILMN_10935,MOAP1
ILMN_10936,TCAIM
ILMN_10937,LOC158830
ILMN_10938,RPS14
ILMN_10939,NRGN
ILMN_10940,VPS51
ILMN_10941,TTN
ILMN_10942,MRGBP
ILMN_10943,FLJ23861
ILMN_10944,PRKN
ILMN_10945,MPZL1
ILMN_10946,LY75
ILMN_10948,SEL1L
ILMN_10949,NLGN3
ILMN_10950,TOMM70
ILMN_10951,OSBPL1A
ILMN_10952,INSRR
ILMN_10953,TRIM3
ILMN_10956,MGAT5B
ILMN_10957,GALK2
ILMN_10958,HEMGN
ILMN_10959,RNF19A
ILMN_1096,KRTAP19-5
ILMN_10960,CREB3
ILMN_10961,ABI3BP
ILMN_10963,SRI
ILMN_10964,SFXN4
ILMN_10965,RARRES1
ILMN_10966,PEX19
ILMN_10967,FTL
ILMN_10968,FRMPD2
ILMN_10969,CASP1
ILMN_10970,CST5
ILMN_10971,PLIN3
ILMN_10972,PDE1A
ILMN_10973,DAZL
ILMN_10974,CLEC3A
ILMN_10977,OPA1
ILMN_10978,CCDC136
ILMN_10981,HTRA1
ILMN_10983,SPINK5
ILMN_10984,OTUD7A
ILMN_10985,SPATS2
ILMN_10987,MICA
ILMN_10988,CLDN3
ILMN_10989,KCNIP2
ILMN_1099,FLJ45910
ILMN_10990,HIST1H1B
ILMN_10991,DLX1
ILMN_10992,QTRT1
ILMN_10993,PPEF1
ILMN_10994,KMO
ILMN_10995,CEP72
ILMN_10996,PLD3
ILMN_10997,SLC16A8
ILMN_10998,RHOBTB3
ILMN_10999,IQCB1
ILMN_1100,FLJ10925
ILMN_11000,CEP41
ILMN_11001,TIGAR
ILMN_11003,NSD3
ILMN_11004,PBX4
ILMN_11006,LRP2
ILMN_11008,SUSD3
ILMN_11009,CARMIL2
ILMN_11010,SNX7
ILMN_11012,CLDN12
ILMN_11022,NF1
ILMN_11023,NIT2
ILMN_11025,TMUB1
ILMN_11027,LURAP1L
ILMN_11028,YWHAZ
ILMN_1103,UPRT
ILMN_11030,ODF2L
ILMN_11032,NIBAN2
ILMN_11037,FBXW11
ILMN_11038,FLJ25416
ILMN_11039,TRIM9
ILMN_11040,HIGD2A
ILMN_11043,AMELX
ILMN_11044,FAM53A
ILMN_11046,CALML4
ILMN_11047,EXOSC7
ILMN_11048,TCAIM
ILMN_11049,EXOSC2
ILMN_11050,C3orf20
ILMN_11051,AHSA1
ILMN_11052,TTN
ILMN_11054,STAT1
ILMN_11056,MPZL1
ILMN_11057,RBM4
ILMN_11058,GRM4
ILMN_11059,CABIN1
ILMN_1106,DXO
ILMN_11061,FZD1
ILMN_11062,FARP2
ILMN_11063,TANK
ILMN_11064,ARHGEF17
ILMN_11065,ODAM
ILMN_11066,PDLIM2
ILMN_11067,PTTG1
ILMN_11068,POLDIP3
ILMN_11069,ENTPD8
ILMN_11070,KCNT2
ILMN_11071,XKR8
ILMN_11072,PEF1
ILMN_11074,PIAS2
ILMN_11076,FRMPD2
ILMN_11078,MADD
ILMN_11079,ENTPD2
ILMN_11080,USP26
ILMN_11081,ADAMTS1
ILMN_11082,DHDDS
ILMN_11083,MYO18A
ILMN_11084,LINC00852
ILMN_11085,MT3
ILMN_11086,ZBED9
ILMN_11087,GNA14
ILMN_11088,AKAP3
ILMN_11089,AGRP
ILMN_1109,FLJ25369
ILMN_11090,ZNF559
ILMN_11091,LOC56901
ILMN_11094,KDM4A
ILMN_11095,CSNK1D
ILMN_11096,SPOP
ILMN_11099,TBX6
ILMN_1110,ADAMTS12
ILMN_11101,CXCL6
ILMN_11102,CEP250
ILMN_11103,CEMIP2
ILMN_11104,DLGAP4
ILMN_11106,KCNQ1DN
ILMN_11108,RPL36A
ILMN_11109,TMEM263
ILMN_1111,BTBD7
ILMN_11110,TONSL
ILMN_11112,OSBPL10
ILMN_11113,LRR1
ILMN_11115,TPTE
ILMN_11116,LUC7L3
ILMN_11118,C8orf37
ILMN_1112,ZC3H12B
ILMN_11123,P3H2
ILMN_11126,MGC4093
ILMN_11128,KRTAP12-3
ILMN_1113,MUC21
ILMN_11130,MAGEB6
ILMN_11132,BC002942
ILMN_11136,PTGER3
ILMN_11139,GRWD1
ILMN_1114,FLJ20397
ILMN_11141,GRASP
ILMN_11142,ITIH4
ILMN_11144,FLJ20647
ILMN_11145,INO80C
ILMN_11148,CPB1
ILMN_1115,HOXD4
ILMN_11150,KRTCAP2
ILMN_11153,OR51E1
ILMN_11154,FBXW11
ILMN_11155,LOC401152
ILMN_11157,RNF220
ILMN_11158,LOC90580
ILMN_1116,CAPRIN2
ILMN_11160,PDE4DIP
ILMN_11161,CRIPAK
ILMN_11162,FSTL4
ILMN_11163,FLJ36888
ILMN_11164,HNRNPCL1
ILMN_11167,SEC24C
ILMN_11168,CD99L2
ILMN_1117,TMSB15A
ILMN_11170,PHACTR2
ILMN_11171,MCM8
ILMN_11173,TOE1
ILMN_11174,HSPA9
ILMN_11175,XAF1
ILMN_11176,EPHB4
ILMN_11177,PRNP
ILMN_11179,PLXNC1
ILMN_1118,FLJ33860
ILMN_11180,ERBB4
ILMN_11181,HRAS
ILMN_11182,FGA
ILMN_11183,HDAC9
ILMN_11184,IDE
ILMN_11185,SLC10A7
ILMN_11186,CCNT2
ILMN_11187,CLTCL1
ILMN_11188,HACE1
ILMN_1119,RCVRN
ILMN_11190,SCD5
ILMN_11191,SPESP1
ILMN_11192,TRERF1
ILMN_11193,KCNG3
ILMN_11194,EPHA3
ILMN_11196,TSSK2
ILMN_11197,GLRX2
ILMN_11198,MT2A
ILMN_11199,GUCY1A2
ILMN_1120,KYAT3
ILMN_11200,SRI
ILMN_11201,ATP1A3
ILMN_11202,AMT
ILMN_11203,BCAS2
ILMN_11204,PRKCH
ILMN_11205,SNX19
ILMN_11207,LIMS1
ILMN_11209,AKAP12
ILMN_1121,MGC12965
ILMN_11210,MYO18A
ILMN_11211,TM9SF2
ILMN_11212,AGAP2
ILMN_11213,MPL
ILMN_11214,CDK16
ILMN_11215,PNMT
ILMN_11216,CYP8B1
ILMN_11218,ABCA2
ILMN_11219,ARRB1
ILMN_1122,SRSF9
ILMN_11220,DEFA3
ILMN_11221,NPFF
ILMN_11222,NIT1
ILMN_11223,PPP1R3D
ILMN_11224,TAGAP
ILMN_11225,KCNS3
ILMN_11226,TEX264
ILMN_11227,UCK1
ILMN_11228,POGLUT2
ILMN_11229,IQCN
ILMN_1123,ATP5MC1
ILMN_11230,RPL30
ILMN_11231,UBL7
ILMN_11233,ENOX1
ILMN_11234,KCNK7
ILMN_11237,C14orf93
ILMN_1124,FLJ30596
ILMN_11240,RAB42
ILMN_11242,RNF121
ILMN_11243,FLJ20699
ILMN_11248,MGC4825
ILMN_11251,PTGER3
ILMN_11255,ATP8A2
ILMN_1126,KCNQ1
ILMN_11263,XCR1
ILMN_11264,ADO
ILMN_11265,DKFZp686I15217
ILMN_11266,FLJ39575
ILMN_11269,CCT6B
ILMN_1127,PLK1
ILMN_11270,KRTAP10-2
ILMN_11271,RPL29P2
ILMN_11272,CYSTM1
ILMN_11273,MS4A10
ILMN_11277,ANKRD17
ILMN_11278,NLRP3
ILMN_11280,TNP1
ILMN_11281,UBA1
ILMN_11283,DROSHA
ILMN_11284,RHAG
ILMN_11285,TP53
ILMN_11286,KAT5
ILMN_11289,RBP1
ILMN_11290,FCN1
ILMN_11291,HAVCR1
ILMN_11292,TTC1
ILMN_11293,ACADS
ILMN_11294,ADAMTS3
ILMN_11296,OPA3
ILMN_11299,FASTK
ILMN_1130,LOC400451
ILMN_11300,CAPRIN1
ILMN_11303,MKNK2
ILMN_11305,GPR61
ILMN_11306,SFTPA1
ILMN_11307,SORT1
ILMN_1131,BEND4
ILMN_11310,BICD2
ILMN_11312,SIX1
ILMN_11313,CKS1B
ILMN_11316,CACNA1G
ILMN_11317,SLC10A7
ILMN_11318,RPS6KA2
ILMN_11319,VPS52
ILMN_1132,FLJ43339
ILMN_11321,AGRP
ILMN_11322,CDK9
ILMN_11323,CENPK
ILMN_11325,CCNA1
ILMN_11327,SLC15A1
ILMN_11328,MXI1
ILMN_11329,TAF10
ILMN_1133,MCM7
ILMN_11330,ZMIZ2
ILMN_11331,PPP2R5A
ILMN_11333,FRMPD1
ILMN_11334,ATM
ILMN_11335,ASIC5
ILMN_11338,LOC148898
ILMN_11339,PCDHGA4
ILMN_1134,P2RX1
ILMN_11340,ELOVL6
ILMN_11341,RPL31
ILMN_11342,VEPH1
ILMN_11343,PYDC1
ILMN_11344,VPS16
ILMN_11345,SIPA1L2
ILMN_11347,PECR
ILMN_11348,WDTC1
ILMN_11349,HORMAD2
ILMN_11351,MRPL37
ILMN_1136,HLTF
ILMN_11360,NOC3L
ILMN_11361,MFSD12
ILMN_11362,HGH1
ILMN_11366,MME
ILMN_11368,MFGE8
ILMN_1137,COL4A6
ILMN_11370,LOC493829
ILMN_11371,CAST
ILMN_11375,CERCAM
ILMN_11376,SOS1
ILMN_11384,FLJ38663
ILMN_11387,OR8D1
ILMN_11388,UNC5A
ILMN_1139,ASPH
ILMN_11390,RANBP3L
ILMN_11391,RPLP0P2
ILMN_11392,SOX21
ILMN_11393,MANEAL
ILMN_11394,ADAM11
ILMN_11395,SNRNP48
